id,location_clean,title_cat_ChatGPT,seniority_level_5,days_online_grouped,job_type,tech_stack
0,Berlin,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
1,Berlin,Data Scientist,Entry level,8-14,Full-time,Python
2,Frankfurt am Main,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
3,Berlin,Data Scientist,Entry level,29+,Full-time,Python
4,Frankfurt am Main,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
5,Berlin,Other,Associate/Mid-Level,8-14,Full-time,Python
6,Bremen,Data Scientist,Entry level,0-7,Full-time,Python
7,Coburg,Machine Learning Engineer,Entry level,22-28,Full-time,Python
8,Tübingen,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
9,Berlin,AI Engineer,Associate/Mid-Level,8-14,Full-time,Python
10,Hamburg,Data Scientist,Entry level,22-28,Full-time,Python
11,Frankfurt am Main,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
12,München,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
14,Deutschland,Data Scientist,Associate/Mid-Level,29+,-,Python
15,München,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
16,München,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
17,Berlin,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
18,München,Machine Learning Engineer,Associate/Mid-Level,0-7,-,Python
20,Freiburg,Other,Entry level,0-7,-,Python
21,Berlin,Machine Learning Engineer,Associate/Mid-Level,15-21,Full-time,Python
22,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
23,Leipzig,Other,Associate/Mid-Level,29+,Full-time,-
25,Frankfurt am Main,Data Scientist,Associate/Mid-Level,0-7,Full-time,-
26,Berlin,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
27,Heidelberg,AI Engineer,Entry level,29+,Full-time,Python
28,Berlin,Other,Associate/Mid-Level,0-7,Full-time,-
29,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
30,Frankfurt am Main,Machine Learning Engineer,Associate/Mid-Level,22-28,Full-time,Python
31,München,AI Engineer,Entry level,29+,-,Python
32,Berlin,Data Scientist,Senior,0-7,Full-time,Python
33,Deutschland,Data Scientist,Associate/Mid-Level,29+,Full-time,-
34,Hessen,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
35,Deutschland,AI/ML Specialist,Entry level,15-21,-,Python
37,Heilbronn,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
38,Schwalbach,Data Scientist,Entry level,15-21,Full-time,Python
39,Bremen,Data Scientist,Entry level,0-7,Full-time,Python
40,Berlin,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
41,Eschborn,AI/ML Specialist,Entry level,0-7,Full-time,Python
42,Frankfurt am Main,Data Analyst,Associate/Mid-Level,15-21,-,Python
43,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
44,Tübingen,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
45,Kronberg,Data Scientist,Entry level,15-21,Full-time,Python
46,Hannover,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
47,München,Data Scientist,Entry level,29+,-,Python
48,München,Machine Learning Engineer,Associate/Mid-Level,8-14,Full-time,Python
49,München,Data Scientist,Entry level,0-7,Full-time,Python
50,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
51,München,AI/ML Specialist,Entry level,8-14,-,Python
52,Potsdam,AI Engineer,Associate/Mid-Level,22-28,Full-time,Python
53,Frankfurt am Main,Research Scientist,Senior,29+,Full-time,Python
54,Nordrhein-Westfalen,AI/ML Specialist,Director,0-7,Full-time,-
55,Berlin,Data Scientist,Senior,0-7,-,Python
56,Düsseldorf,Other,Entry level,0-7,Full-time,Python
58,Deutschland,Data Scientist,Associate/Mid-Level,29+,-,Python
60,Berlin,Machine Learning Engineer,Associate/Mid-Level,8-14,Full-time,Python
61,Hürth,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
62,Aschheim,Other,Associate/Mid-Level,15-21,Full-time,Python
63,Hamburg,Other,Associate/Mid-Level,15-21,Full-time,Python
64,München,Data Scientist,Entry level,29+,-,Python
65,Berlin,Data Scientist,Entry level,0-7,Full-time,Python
66,Deutschland,AI/ML Specialist,Director,22-28,Full-time,Python
67,Düsseldorf,Data Scientist,Entry level,15-21,Full-time,Python
68,Deutschland,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,Python
69,München,Data Scientist,Associate/Mid-Level,0-7,-,Python
70,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
71,Deutschland,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,Python
72,Hürth,AI Engineer,Entry level,29+,Full-time,Python
73,Hamburg,Other,Associate/Mid-Level,0-7,Full-time,-
74,Berlin,Data Scientist,Senior,0-7,Full-time,Python
75,Köln,Data Scientist,Entry level,0-7,Full-time,Python
76,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
77,München,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,Python
79,Deutschland,Data Analyst,Associate/Mid-Level,0-7,Full-time,-
80,München,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
81,Frankfurt am Main,Other,Associate/Mid-Level,22-28,Full-time,-
84,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
